entry1	entry2	type	value	name
hsa:110117499	hsa:2475	PPrel	..>	indirecteffect
hsa:110117499	hsa:5590	PPrel	..>	indirecteffect
hsa:110117499	hsa:6517	PPrel	..>	indirecteffect
hsa:122809	hsa:3643	PPrel	--|	inhibition
hsa:122809	hsa:3667	PPrel	--|	inhibition
hsa:122809	hsa:8471	PPrel	--|	inhibition
hsa:122809	hsa:8660	PPrel	--|	inhibition
hsa:2475	hsa:3667	PPrel,PPrel	--|,+p	inhibition,phosphorylation
hsa:2475	hsa:8471	PPrel,PPrel	--|,+p	inhibition,phosphorylation
hsa:2475	hsa:8660	PPrel,PPrel	--|,+p	inhibition,phosphorylation
hsa:2645	hsa:5313	PPrel	..>	indirecteffect
hsa:2645	hsa:5315	PPrel	..>	indirecteffect
hsa:3098	hsa:5313	PPrel	..>	indirecteffect
hsa:3098	hsa:5315	PPrel	..>	indirecteffect
hsa:3099	hsa:5313	PPrel	..>	indirecteffect
hsa:3099	hsa:5315	PPrel	..>	indirecteffect
hsa:3101	hsa:5313	PPrel	..>	indirecteffect
hsa:3101	hsa:5315	PPrel	..>	indirecteffect
hsa:3551	hsa:3667	PPrel,PPrel	--|,+p	inhibition,phosphorylation
hsa:3551	hsa:8471	PPrel,PPrel	--|,+p	inhibition,phosphorylation
hsa:3551	hsa:8660	PPrel,PPrel	--|,+p	inhibition,phosphorylation
hsa:3630	hsa:3643	PPrel	-->	activation
hsa:3643	hsa:3667	PPrel,PPrel	-->,-->	activation,activation
hsa:3643	hsa:5594	PPrel	..>	indirecteffect
hsa:3643	hsa:5595	PPrel	..>	indirecteffect
hsa:3643	hsa:8471	PPrel	-->	activation
hsa:3643	hsa:8660	PPrel	-->	activation
hsa:3651	hsa:3630	GErel	-->	expression
hsa:3667	hsa:110117499	PPrel,PPrel	-->,-->	activation,activation
hsa:3667	hsa:5290	PPrel,PPrel	-->,-->	activation,activation
hsa:3667	hsa:5291	PPrel,PPrel	-->,-->	activation,activation
hsa:3667	hsa:5293	PPrel,PPrel	-->,-->	activation,activation
hsa:3667	hsa:5295	PPrel,PPrel	-->,-->	activation,activation
hsa:3667	hsa:5296	PPrel,PPrel	-->,-->	activation,activation
hsa:3667	hsa:8503	PPrel,PPrel	-->,-->	activation,activation
hsa:3767	hsa:773	PPrel	..>	indirecteffect
hsa:3767	hsa:774	PPrel	..>	indirecteffect
hsa:3767	hsa:775	PPrel	..>	indirecteffect
hsa:3767	hsa:776	PPrel	..>	indirecteffect
hsa:3767	hsa:777	PPrel	..>	indirecteffect
hsa:3767	hsa:8913	PPrel	..>	indirecteffect
hsa:389692	hsa:3630	GErel	-->	expression
hsa:5290	hsa:2475	PPrel	..>	indirecteffect
hsa:5290	hsa:5590	PPrel	..>	indirecteffect
hsa:5290	hsa:6517	PPrel	..>	indirecteffect
hsa:5291	hsa:2475	PPrel	..>	indirecteffect
hsa:5291	hsa:5590	PPrel	..>	indirecteffect
hsa:5291	hsa:6517	PPrel	..>	indirecteffect
hsa:5293	hsa:2475	PPrel	..>	indirecteffect
hsa:5293	hsa:5590	PPrel	..>	indirecteffect
hsa:5293	hsa:6517	PPrel	..>	indirecteffect
hsa:5295	hsa:2475	PPrel	..>	indirecteffect
hsa:5295	hsa:5590	PPrel	..>	indirecteffect
hsa:5295	hsa:6517	PPrel	..>	indirecteffect
hsa:5296	hsa:2475	PPrel	..>	indirecteffect
hsa:5296	hsa:5590	PPrel	..>	indirecteffect
hsa:5296	hsa:6517	PPrel	..>	indirecteffect
hsa:5580	hsa:3667	PPrel,PPrel	--|,+p	inhibition,phosphorylation
hsa:5580	hsa:8471	PPrel,PPrel	--|,+p	inhibition,phosphorylation
hsa:5580	hsa:8660	PPrel,PPrel	--|,+p	inhibition,phosphorylation
hsa:5581	hsa:3667	PPrel,PPrel	--|,+p	inhibition,phosphorylation
hsa:5581	hsa:8471	PPrel,PPrel	--|,+p	inhibition,phosphorylation
hsa:5581	hsa:8660	PPrel,PPrel	--|,+p	inhibition,phosphorylation
hsa:5590	hsa:3667	PPrel,PPrel	--|,+p	inhibition,phosphorylation
hsa:5590	hsa:8471	PPrel,PPrel	--|,+p	inhibition,phosphorylation
hsa:5590	hsa:8660	PPrel,PPrel	--|,+p	inhibition,phosphorylation
hsa:5594	hsa:3667	PPrel	..>	indirecteffect
hsa:5594	hsa:8471	PPrel	..>	indirecteffect
hsa:5594	hsa:8660	PPrel	..>	indirecteffect
hsa:5595	hsa:3667	PPrel	..>	indirecteffect
hsa:5595	hsa:8471	PPrel	..>	indirecteffect
hsa:5595	hsa:8660	PPrel	..>	indirecteffect
hsa:5599	hsa:3667	PPrel,PPrel	--|,+p	inhibition,phosphorylation
hsa:5599	hsa:8471	PPrel,PPrel	--|,+p	inhibition,phosphorylation
hsa:5599	hsa:8660	PPrel,PPrel	--|,+p	inhibition,phosphorylation
hsa:5601	hsa:3667	PPrel,PPrel	--|,+p	inhibition,phosphorylation
hsa:5601	hsa:8471	PPrel,PPrel	--|,+p	inhibition,phosphorylation
hsa:5601	hsa:8660	PPrel,PPrel	--|,+p	inhibition,phosphorylation
hsa:5602	hsa:3667	PPrel,PPrel	--|,+p	inhibition,phosphorylation
hsa:5602	hsa:8471	PPrel,PPrel	--|,+p	inhibition,phosphorylation
hsa:5602	hsa:8660	PPrel,PPrel	--|,+p	inhibition,phosphorylation
hsa:6833	hsa:773	PPrel	..>	indirecteffect
hsa:6833	hsa:774	PPrel	..>	indirecteffect
hsa:6833	hsa:775	PPrel	..>	indirecteffect
hsa:6833	hsa:776	PPrel	..>	indirecteffect
hsa:6833	hsa:777	PPrel	..>	indirecteffect
hsa:6833	hsa:8913	PPrel	..>	indirecteffect
hsa:7124	hsa:2475	PPrel	..>	indirecteffect
hsa:7124	hsa:3551	PPrel	..>	indirecteffect
hsa:7124	hsa:5599	PPrel	..>	indirecteffect
hsa:7124	hsa:5601	PPrel	..>	indirecteffect
hsa:7124	hsa:5602	PPrel	..>	indirecteffect
hsa:773	hsa:3630	PPrel	25	compound
hsa:774	hsa:3630	PPrel	25	compound
hsa:775	hsa:3630	PPrel	25	compound
hsa:776	hsa:3630	PPrel	25	compound
hsa:777	hsa:3630	PPrel	25	compound
hsa:80201	hsa:5313	PPrel	..>	indirecteffect
hsa:80201	hsa:5315	PPrel	..>	indirecteffect
hsa:8471	hsa:110117499	PPrel	-->	activation
hsa:8471	hsa:5290	PPrel	-->	activation
hsa:8471	hsa:5291	PPrel	-->	activation
hsa:8471	hsa:5293	PPrel	-->	activation
hsa:8471	hsa:5295	PPrel	-->	activation
hsa:8471	hsa:5296	PPrel	-->	activation
hsa:8471	hsa:8503	PPrel	-->	activation
hsa:8503	hsa:2475	PPrel	..>	indirecteffect
hsa:8503	hsa:5590	PPrel	..>	indirecteffect
hsa:8503	hsa:6517	PPrel	..>	indirecteffect
hsa:8651	hsa:3643	PPrel	--|	inhibition
hsa:8651	hsa:3667	PPrel	--|	inhibition
hsa:8651	hsa:8471	PPrel	--|	inhibition
hsa:8651	hsa:8660	PPrel	--|	inhibition
hsa:8660	hsa:110117499	PPrel	-->	activation
hsa:8660	hsa:5290	PPrel	-->	activation
hsa:8660	hsa:5291	PPrel	-->	activation
hsa:8660	hsa:5293	PPrel	-->	activation
hsa:8660	hsa:5295	PPrel	-->	activation
hsa:8660	hsa:5296	PPrel	-->	activation
hsa:8660	hsa:8503	PPrel	-->	activation
hsa:8835	hsa:3643	PPrel	--|	inhibition
hsa:8835	hsa:3667	PPrel	--|	inhibition
hsa:8835	hsa:8471	PPrel	--|	inhibition
hsa:8835	hsa:8660	PPrel	--|	inhibition
hsa:8913	hsa:3630	PPrel	25	compound
hsa:9021	hsa:3643	PPrel	--|	inhibition
hsa:9021	hsa:3667	PPrel	--|	inhibition
hsa:9021	hsa:8471	PPrel	--|	inhibition
hsa:9021	hsa:8660	PPrel	--|	inhibition
hsa:9370	hsa:6517	PPrel	..>	indirecteffect
